    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1725934841,    4163.320031426002970,    4003.198496430194609,       0.850000000000000,       0.850000000000000,       0.816757915920788,       0.816757915920788,                 1,                 1,       2.152470610497434,       0.000000000000000,               1,1,1,1,1,       1.001400950204199,       1.001400950204199,       0.850000000000000,       0.850000000000000,       0.816757915920788,       0.816757915920788,                 1,                 1,       2.152470610497434,       0.000000000000000,0,0,       1.001400950204199,       1.001400950204199,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934842,    8536.430662802451479,    8527.834142462472300,       1.000000000000000,       0.700000000000000,       1.764925210560339,       0.676029536363093,                 1,                 0,       4.302790900704661,       0.000000000000000,               1,1,0,1,1,       1.000103313542167,       0.450837074931367,       1.000000000000000,       0.700000000000000,       1.764925210560339,       0.676029536363093,                 1,                 0,       4.302790900704660,       0.000000000000000,0,0,       1.000103313542167,       0.450837074931367,       0.382446596333920,       0.177132090954633,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934842,    8536.430663802451818,    8536.430662802451479,       0.180872199342745,       0.000000000000000,       2.573782133268764,       0.000000000000000,                 2,                15,       0.000000000000000,       0.000000000000000,               2,1,1,1,1,       0.000000000000000,       0.000000000000000,       1.576470588235294,       0.000000000000000,       2.573782133268764,       0.000000000000000,                 2,                15,       4.302790900704661,       0.000000000000000,1,0,                    -nan,                    -nan,       0.382446596333920,       0.177132090954633,1501199875790164.500000000000000,1501199875790164.500000000000000,       1.718745742301937,       1.718745742301937,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,         1
  1725934843,    9107.010136996694200,    9097.045504601195717,       0.165660476799686,       0.700000000000000,       0.022974335007145,       0.677896798379341,                10,                 0,       0.034772309888819,       0.000000000000000,               1,1,0,1,1,       2.506058305014181,      38.514310706069793,       0.999228018437899,       0.700000000000000,       2.669514450647359,       0.677896798379341,                 3,                 0,       6.456042973611809,       0.000000000000000,0,0,       1.008339770285360,       0.301245536066446,       0.189330021046070,       0.364275166771703,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934844,    9288.475889891673432,    9282.214640208316268,       0.181793754416556,       0.700000000000000,       0.022186318092486,       0.678500023339684,                10,                 0,       0.048486344968938,       0.000000000000000,               1,1,0,1,1,       1.692405550568169,      28.095968486699707,       0.998594074865902,       0.700000000000000,       3.576164843777350,       0.678500023339684,                 3,                 0,       8.610552654428844,       0.000000000000000,0,0,       1.012947416307593,       0.226035131002955,       0.081339270834001,       0.852806983836434,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934845,    9377.656330865220298,    9373.215090181323831,       0.194719883683896,       0.700000000000000,       0.021613678755561,       0.678798184106904,                10,                 0,       0.061361529598623,       0.000000000000000,               1,1,0,1,1,       1.278922696266261,      22.482625634422192,       0.997938012497969,       0.700000000000000,       4.468544903056809,       0.678798184106904,                 3,                 0,      10.766811444879711,       0.000000000000000,0,0,       1.012373808018872,       0.180818127892707,       0.043202875033828,       1.610174039160279,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934846,    9427.921861797696693,    9424.506448275686125,       0.205221333211946,       0.700000000000000,       0.021181002457962,       0.678966741115683,                10,                 0,       0.072792016191116,       0.000000000000000,               1,1,0,1,1,       1.041771325109341,      19.136764519076735,       0.997288387722555,       0.700000000000000,       5.318963123768414,       0.678966741115683,                 3,                 0,      12.924688231375393,       0.000000000000000,0,0,       1.003990751140581,       0.150642933986349,       0.026508977121949,       2.628389332341042,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1725934847,    9463.950651025810657,    9461.270518916619039,       0.215416974997400,       0.700000000000000,       0.020785374574578,       0.679087781749380,                10,                 0,       0.084316724419671,       0.000000000000000,               1,1,0,1,1,       0.871262914216733,      16.670370320333738,       0.996541281189569,       0.700000000000000,       6.265543177051785,       0.679087781749380,                 3,                 0,      15.085084322057631,       0.000000000000000,0,0,       1.013453718887235,       0.129068478473942,       0.016830290121522,       4.144683976028138,       0.000000000000000,       0.000000000000000,       0.000000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
