    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1726099889,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.561132530690446,       0.000000000000000,               1,1,1,1,1,       1.304698719033508,       1.304698719033508,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.561132530690446,       0.000000000000000,0,0,       1.304698719033508,       1.304698719033508,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726099890,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.614890537945627,       0.000000000000000,               1,1,1,1,1,       1.261266671129597,       1.261266671129597,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.614890537945627,       0.000000000000000,0,0,       1.261266671129597,       1.261266671129597,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726099891,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.668648545200808,       0.000000000000000,               1,1,1,1,1,       1.220633079920525,       1.220633079920525,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.668648545200808,       0.000000000000000,0,0,       1.220633079920525,       1.220633079920525,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726099892,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.722406552455988,       0.000000000000000,               1,1,1,1,1,       1.182535917625877,       1.182535917625877,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.722406552455988,       0.000000000000000,0,0,       1.182535917625877,       1.182535917625877,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726099893,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.776164559711169,       0.000000000000000,               1,1,1,1,1,       1.146744878956812,       1.146744878956812,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.776164559711169,       0.000000000000000,0,0,       1.146744878956812,       1.146744878956812,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726099894,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.829922566966350,       0.000000000000000,               1,1,1,1,1,       1.113056721525649,       1.113056721525649,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.829922566966350,       0.000000000000000,0,0,       1.113056721525649,       1.113056721525649,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726099895,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.883680574221530,       0.000000000000000,               1,1,1,1,1,       1.081291404130510,       1.081291404130510,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.883680574221530,       0.000000000000000,0,0,       1.081291404130510,       1.081291404130510,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726099896,       0.160121534996000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.937438581476711,       0.000000000000000,               1,1,1,1,1,       1.051288867944869,       1.051288867944869,       0.850000000000000,       0.850000000000000,       0.771788196571862,       0.771788196571862,                 1,                 1,       1.937438581476711,       0.000000000000000,0,0,       1.051288867944869,       1.051288867944869,       0.500000000000000,       0.000000000000000,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
