logTeff,logg,F218W1,F225W1,F275W1,F336W,F390W,F438W,F475W,F555W,F606W,F625W,F775W,F814W,F105W,F110W,F125W,F140W,F160W,F218W1_Av0.5,F225W1_Av0.5,F275W1_Av0.5,F336W_Av0.5,F390W_Av0.5,F438W_Av0.5,F475W_Av0.5,F555W_Av0.5,F606W_Av0.5,F625W_Av0.5,F775W_Av0.5,F814W_Av0.5,F105W_Av0.5,F110W_Av0.5,F125W_Av0.5,F140W_Av0.5,F160W_Av0.5,F218W1_Av1,F225W1_Av1,F275W1_Av1,F336W_Av1,F390W_Av1,F438W_Av1,F475W_Av1,F555W_Av1,F606W_Av1,F625W_Av1,F775W_Av1,F814W_Av1,F105W_Av1,F110W_Av1,F125W_Av1,F140W_Av1,F160W_Av1,F218W1_Av2,F225W1_Av2,F275W1_Av2,F336W_Av2,F390W_Av2,F438W_Av2,F475W_Av2,F555W_Av2,F606W_Av2,F625W_Av2,F775W_Av2,F814W_Av2,F105W_Av2,F110W_Av2,F125W_Av2,F140W_Av2,F160W_Av2,F218W1_Av5,F225W1_Av5,F275W1_Av5,F336W_Av5,F390W_Av5,F438W_Av5,F475W_Av5,F555W_Av5,F606W_Av5,F625W_Av5,F775W_Av5,F814W_Av5,F105W_Av5,F110W_Av5,F125W_Av5,F140W_Av5,F160W_Av5,F218W1_Av10,F225W1_Av10,F275W1_Av10,F336W_Av10,F390W_Av10,F438W_Av10,F475W_Av10,F555W_Av10,F606W_Av10,F625W_Av10,F775W_Av10,F814W_Av10,F105W_Av10,F110W_Av10,F125W_Av10,F140W_Av10,F160W_Av10,F218W1_Av20,F225W1_Av20,F275W1_Av20,F336W_Av20,F390W_Av20,F438W_Av20,F475W_Av20,F555W_Av20,F606W_Av20,F625W_Av20,F775W_Av20,F814W_Av20,F105W_Av20,F110W_Av20,F125W_Av20,F140W_Av20,F160W_Av20
3.6,0.0,-8.542994,-8.748953,-8.887252,-4.957785,-3.4879375,-2.7151525,-1.7555088,-1.0671506,-0.5511979,-0.26733792,0.41700175,0.5431224,1.1770715,1.4021623,1.64244,1.9448284,2.2370255,-9.111929,-9.114101,-9.5505905,-5.769241,-4.184124,-3.371679,-2.3268192,-1.5728519,-0.99963874,-0.6937879,0.089274526,0.24389504,0.9907042,1.2394856,1.5008187,1.8253852,2.1358154,-9.654264,-9.45891,-10.136642,-6.578926,-4.879417,-4.0276303,-2.895584,-2.0749037,-1.444957,-1.1191113,-0.23755834,-0.053342775,0.8048713,1.0778217,1.359429,1.7061723,2.0346766,-10.646872,-10.104112,-11.095063,-8.191575,-6.267448,-5.3378344,-4.0257626,-3.0684369,-2.3267736,-1.9664348,-0.88852537,-0.6418279,0.4347907,0.7574585,1.0773394,1.4684339,1.8326111,-12.906884,-11.835804,-13.078303,-12.895703,-10.412968,-9.255291,-7.3629827,-5.972018,-4.911261,-4.4830074,-2.8197105,-2.3598118,-0.66313463,-0.18133616,0.23650375,0.7606371,1.2280976,-15.59818,-14.413616,-15.68607,-18.52917,-17.259636,-15.732615,-12.783527,-10.604101,-9.069983,-8.601867,-5.967085,-5.077236,-2.4547524,-1.6815947,-1.1474524,-0.4015832,0.22608621,-20.325048,-19.137217,-20.3525,-24.028603,-27.586641,-25.379927,-23.15469,-19.311827,-17.078173,-16.628305,-12.026723,-10.121956,-5.91758,-4.508774,-3.8560972,-2.6664007,-1.7579925
3.6,0.5,-8.436275,-8.724553,-8.610215,-4.619356,-3.2967281,-2.5802567,-1.7083718,-1.0489028,-0.54944867,-0.26999018,0.40897045,0.53219557,1.1593766,1.3826548,1.6231436,1.9349408,2.2418413,-9.01641,-9.102026,-9.327628,-5.4315367,-3.9946997,-3.2375295,-2.2818983,-1.5560086,-0.99848783,-0.69664073,0.08123551,0.23283291,0.9729736,1.2199227,1.4814701,1.8156556,2.1406753,-9.571091,-9.455042,-9.969761,-6.2421083,-4.691723,-3.8942122,-2.8527787,-2.0593843,-1.4443717,-1.1221614,-0.24560225,-0.06453963,0.7871067,1.0582047,1.3400289,1.6966008,2.0395803,-10.590226,-10.109349,-11.021246,-7.8574033,-6.083058,-5.205838,-3.9868813,-3.0553277,-2.327225,-1.9698693,-0.8965708,-0.6532914,0.41696343,0.7377369,1.0578386,1.4591789,1.8376024,-12.907188,-11.848552,-13.086607,-12.596667,-10.237374,-9.127253,-7.3334694,-5.964441,-4.9141517,-4.487502,-2.8276966,-2.3720307,-0.6811082,-0.20134093,0.21671876,0.752331,1.2333481,-15.6140785,-14.428509,-15.700938,-18.498,-17.097414,-15.611705,-12.762956,-10.601844,-9.075325,-8.607786,-5.974798,-5.0904408,-2.4728448,-1.7019786,-1.1676507,-0.40833092,0.23175587,-20.343159,-19.153252,-20.369238,-24.052279,-27.593546,-25.392296,-23.14319,-19.315165,-17.08551,-16.635906,-12.033678,-10.135803,-5.935585,-4.529661,-3.876907,-2.6702495,-1.7515397
3.6,1.0,-8.353913,-8.69602,-8.339614,-4.33303,-3.146016,-2.4813852,-1.6858947,-1.0457238,-0.5550537,-0.27612707,0.40349314,0.5247534,1.1472371,1.3682584,1.6084796,1.9278065,2.246333,-8.942459,-9.086944,-9.1004715,-5.1457424,-3.8457038,-3.1393347,-2.261337,-1.5536515,-1.0042275,-0.7028661,0.075786024,0.22532183,0.9607975,1.2054551,1.4667504,1.8086506,2.1451955,-9.506381,-9.448681,-9.791571,-5.956945,-4.5443916,-3.796681,-2.8340364,-2.057782,-1.450239,-1.1284738,-0.25102144,-0.07211955,0.77489567,1.043667,1.325254,1.6897253,2.0441291,-10.5455065,-10.112094,-10.934515,-7.5740504,-5.9389052,-5.1095943,-3.9714835,-3.0550456,-2.333328,-1.976351,-0.90192217,-0.66100824,0.40468702,0.7230628,1.0429555,1.4525625,1.842208,-12.906426,-11.857388,-13.090794,-12.336551,-10.101677,-9.034577,-7.3258066,-5.9668584,-4.9208384,-4.4944487,-2.832792,-2.3801398,-0.6935448,-0.21639292,0.20152831,0.7464906,1.2381208,-15.625082,-14.438513,-15.710944,-18.461737,-16.97398,-15.525008,-12.761908,-10.606296,-9.0826845,-8.615345,-5.9793425,-5.0990605,-2.4854407,-1.7175572,-1.1832951,-0.4129001,0.23679657,-20.355738,-19.163979,-20.380552,-24.069965,-27.597013,-25.400816,-23.145275,-19.32151,-17.09345,-16.644114,-12.037107,-10.144619,-5.948219,-4.5459743,-3.893248,-2.6724663,-1.7460063
3.6,1.5,-8.293419,-8.665703,-8.106064,-4.112333,-3.032848,-2.4109623,-1.6805681,-1.0518374,-0.56441486,-0.28323215,0.40000266,0.5201061,1.1397324,1.3583642,1.5980308,1.9229641,2.2501514,-8.888159,-9.0703,-8.898145,-4.92526,-3.7340147,-3.0694673,-2.2576103,-1.5601224,-1.0134054,-0.7099983,0.072349295,0.22066124,0.95325893,1.1954843,1.4562467,1.8039079,2.1490304,-9.458794,-9.44074,-9.626749,-5.73674,-4.434139,-3.7273579,-2.8318205,-2.064557,-1.4592464,-1.1356329,-0.25440252,-0.0767939,0.76732445,1.0336207,1.3146963,1.6850824,2.0479803,-10.51236,-10.112825,-10.847482,-7.3547435,-5.8314013,-5.041326,-3.9720173,-3.062284,-2.3420331,-1.9835631,-0.9051865,-0.66571134,0.39705434,0.71286887,1.0322914,1.4481193,1.8460913,-12.90517,-11.862915,-13.091828,-12.131185,-10.001506,-8.969219,-7.332471,-5.97463,-4.9289207,-4.501809,-2.8356686,-2.3849342,-0.7013325,-0.22700097,0.1905606,0.7426449,1.2420982,-15.631999,-14.444496,-15.716952,-18.426416,-16.884214,-15.464318,-12.773093,-10.613745,-9.090368,-8.622901,-5.981504,-5.103977,-2.4933987,-1.7287537,-1.1947157,-0.4157689,0.24092303,-20.36369,-19.170357,-20.387415,-24.082424,-27.598112,-25.406115,-23.155401,-19.328568,-17.100996,-16.651821,-12.037999,-10.149387,-5.9562902,-4.5580115,-3.9053793,-2.6735356,-1.7416134
3.6,2.0,-8.250778,-8.636133,-7.928826,-3.9583097,-2.9520757,-2.3616023,-1.6866957,-1.063288,-0.5752375,-0.289919,0.3983683,0.5179925,1.1363217,1.3526174,1.5915675,1.9200879,2.2530222,-8.8500395,-9.053682,-8.741652,-4.7711234,-3.6543818,-3.0205262,-2.265056,-1.5715814,-1.0238364,-0.71667784,0.070789784,0.21858102,0.94981915,1.1896619,1.4497322,1.8011003,2.1519074,-9.425421,-9.43218,-9.49603,-5.582531,-4.3556147,-3.6788268,-2.8405027,-2.0759826,-1.469313,-1.1423059,-0.25588596,-0.07884192,0.76385665,1.0277234,1.3081309,1.6823434,2.0508633,-10.488972,-10.111905,-10.774186,-7.200609,-5.7550054,-4.9935894,-3.9829257,-3.0735364,-2.3514516,-1.9902251,-0.9065144,-0.6676986,0.39353338,0.7068247,1.025626,1.4455173,1.848986,-12.903341,-11.865401,-13.090632,-11.984225,-9.930824,-8.923664,-7.3481345,-5.98484,-4.936967,-4.5084515,-2.8365107,-2.386769,-0.70499027,-0.23346087,0.18360837,0.7404534,1.245027,-15.635227,-14.446915,-15.719409,-18.397152,-16.821606,-15.42217,-12.791607,-10.62201,-9.0974045,-8.629532,-5.9815264,-5.1056337,-2.497217,-1.7358152,-1.2021006,-0.4172896,0.24390282,-20.367517,-19.172928,-20.390366,-24.09014,-27.59723,-25.40833,-23.170013,-19.33504,-17.107574,-16.658384,-12.036703,-10.150671,-5.960259,-4.565955,-3.91346,-2.6738234,-1.7385516
3.6,2.5,-8.221638,-8.6076145,-7.804484,-3.8627143,-2.8979688,-2.3271797,-1.7003214,-1.0775238,-0.58618665,-0.29547355,0.39882395,0.51855534,1.1368613,1.3509059,1.5890025,1.9189376,2.254765,-8.824241,-9.037293,-8.631126,-4.6751623,-3.6010387,-2.9863935,-2.2797735,-1.5855671,-1.0342602,-0.72220856,0.07134179,0.21922019,0.95033425,1.1878761,1.4471191,1.7999852,2.153648,-9.402896,-9.423071,-9.40261,-5.4862347,-4.303017,-3.644978,-2.856238,-2.0896862,-1.4792497,-1.1478143,-0.25523707,-0.07812852,0.7643479,1.025864,1.3054701,1.6812637,2.0526016,-10.472955,-10.10922,-10.719806,-7.1037874,-5.7038436,-4.96029,-4.0004697,-3.0866008,-2.3605244,-1.9956928,-0.9056707,-0.6668435,0.393979,0.70482004,1.0228711,1.4445087,1.8507199,-12.900389,-11.864732,-13.087489,-11.890034,-9.883548,-8.891872,-7.369354,-5.9957333,-4.944222,-4.513826,-2.835082,-2.385547,-0.70466477,-0.23588139,0.18058148,0.7396578,1.2467463,-15.634725,-14.445748,-15.718297,-18.3765,-16.779852,-15.392702,-12.814409,-10.62986,-9.103327,-8.634813,-5.979175,-5.1039844,-2.4970417,-1.7388494,-1.2055446,-0.41773444,0.24559502,-20.367275,-19.171732,-20.38946,-24.093336,-27.594145,-25.407225,-23.186893,-19.340267,-17.112944,-16.66352,-12.032993,-10.148497,-5.9602633,-4.569918,-3.9175982,-2.6736183,-1.7369224
3.6,3.0,-8.200391,-8.576737,-7.711951,-3.8108058,-2.8631139,-2.3012128,-1.717165,-1.0914782,-0.5951629,-0.2982129,0.4027206,0.5229979,1.1420478,1.3536612,1.5905985,1.9191161,2.254409,-8.805644,-9.018606,-8.548917,-4.6227555,-3.5665946,-2.9606032,-2.29755,-1.599089,-1.04263,-0.7249209,0.07535557,0.22377492,0.95549715,1.1905482,1.4486651,1.8001577,2.153279,-9.386575,-9.41142,-9.332769,-5.433355,-4.2689743,-3.619361,-2.8748786,-2.1027508,-1.487059,-1.1505016,-0.2511064,-0.073464796,0.7694877,1.0284534,1.3069664,1.6814301,2.0522196,-10.46062,-10.10329,-10.677705,-7.050065,-5.670574,-4.935009,-4.0206285,-3.0986998,-2.3673449,-1.9983354,-0.9013074,-0.6619719,0.39907426,0.7072456,1.024269,1.4446634,1.850312,-12.894692,-11.859797,-13.081082,-11.83626,-9.85238,-8.867522,-7.3924327,-6.004885,-4.9489856,-4.51637,-2.8300393,-2.3801403,-0.6996913,-0.2339299,0.18169136,0.73978055,1.2462606,-15.629513,-14.440018,-15.71263,-18.363144,-16.751705,-15.369807,-12.83817,-10.635261,-9.106629,-8.637269,-5.9731145,-5.097974,-2.492235,-1.737612,-1.2048867,-0.41765687,0.24498077,-20.362104,-19.165865,-20.383818,-24.09138,-27.587542,-25.401646,-23.20324,-19.342627,-17.115734,-16.665846,-12.025549,-10.141893,-5.9557037,-4.569796,-3.9177268,-2.6736066,-1.7377876
3.6,3.5,-8.183181,-8.533285,-7.607164,-3.781328,-2.8425364,-2.2842777,-1.7342408,-1.1022773,-0.59835887,-0.29469836,0.415848,0.53692204,1.1552978,1.3623195,1.5962918,1.9173167,2.2463753,-8.790593,-8.989494,-8.454675,-4.592938,-3.5461628,-2.943784,-2.315334,-1.6092713,-1.0451322,-0.7213323,0.08861089,0.23782668,0.9686991,1.1990381,1.4542772,1.7982754,2.145216,-9.37286,-9.390438,-9.251163,-5.403218,-4.2486815,-3.6026573,-2.8933117,-2.1123016,-1.4889163,-1.1468412,-0.23772383,-0.059289258,0.78264207,1.036776,1.3124975,1.6794654,2.0441277,-10.448235,-10.088564,-10.624751,-7.0193667,-5.6505404,-4.9185348,-4.0401783,-3.1069665,-2.368054,-1.9945382,-0.8876728,-0.6475611,0.4121347,0.7152368,1.0296386,1.4425348,1.8421621,-12.881582,-11.845514,-13.06548,-11.805197,-9.83299,-8.851723,-7.413937,-6.0094647,-4.947228,-4.5122137,-2.8156776,-2.3651302,-0.6869009,-0.2268971,0.18658447,0.73717004,1.2379395,-15.614633,-14.424688,-15.697443,-18.349752,-16.733116,-15.355065,-12.85943,-10.635316,-9.102912,-8.632654,-5.9576902,-5.082313,-2.479854,-1.7320162,-1.2007564,-0.4210302,0.23638184,-20.347292,-19.150496,-20.368732,-24.080435,-27.572462,-25.387184,-23.21566,-19.338543,-17.110939,-16.660587,-12.008734,-10.125708,-5.9440203,-4.5664134,-3.9149685,-2.6783192,-1.7469093
3.6,4.0,-8.158629,-8.445996,-7.3883195,-3.7267492,-2.8235466,-2.2821465,-1.7361807,-1.094766,-0.5786721,-0.27016538,0.4523987,0.57294154,1.1805055,1.3752354,1.6000575,1.8985416,2.2075417,-8.768353,-8.926041,-8.252492,-4.5388346,-3.5272934,-2.941887,-2.3172553,-1.600942,-1.0247899,-0.6965878,0.12519315,0.2738258,0.9937657,1.2114862,1.4578501,1.7792394,2.1062984,-9.351329,-9.341288,-9.070653,-5.349611,-4.2299156,-3.6009974,-2.895189,-2.1031723,-1.4679507,-1.121888,-0.20110974,-0.02331215,0.80756813,1.0487591,1.3158782,1.6601692,2.0051262,-10.425535,-10.051448,-10.499372,-6.966818,-5.631936,-4.917359,-4.0419,-3.0963006,-2.345936,-1.9691774,-0.8509944,-0.61163265,0.43678162,0.7263011,1.0326364,1.422721,1.8029944,-12.850974,-11.8116255,-13.027444,-11.756632,-9.814582,-8.852035,-7.4147625,-5.994783,-4.9223456,-4.4857173,-2.7788036,-2.3293808,-0.6630724,-0.2184748,0.18844976,0.7158286,1.1982799,-15.581032,-14.39068,-15.663814,-18.313988,-16.714417,-15.357536,-12.858133,-10.615828,-9.075144,-8.60459,-5.920499,-5.046925,-2.4573066,-1.7275026,-1.2007055,-0.44481012,0.19592759,-20.314978,-19.117594,-20.336525,-24.053785,-27.539328,-25.35632,-23.207092,-19.313261,-17.080494,-16.630491,-11.971048,-10.090952,-5.9237137,-4.567736,-3.9181716,-2.7064412,-1.7888483
3.6,4.5,-8.115854,-8.324075,-7.105961,-3.6311595,-2.786948,-2.2694652,-1.7180201,-1.069225,-0.5428495,-0.23149043,0.49763808,0.61656344,1.2089388,1.3896343,1.6036057,1.8704541,2.1454375,-8.72988,-8.837199,-7.987348,-4.4441414,-3.4909787,-2.9294972,-2.2988944,-1.574729,-0.98851633,-0.65772456,0.17038517,0.31731647,1.0220386,1.2253399,1.461174,1.7507545,2.044026,-9.3149395,-9.273652,-8.829149,-5.2558346,-4.193859,-3.588903,-2.8766177,-2.076312,-1.431244,-1.0828391,-0.15596439,0.020047292,0.835681,1.062071,1.3189781,1.6312876,1.9426858,-10.390072,-10.003244,-10.324147,-6.874952,-5.5963254,-4.905863,-4.0228825,-3.0682235,-2.3084168,-1.929766,-0.8059402,-0.56853485,0.46457636,0.7385407,1.0352899,1.3930476,1.7402196,-12.81247,-11.771214,-12.979488,-11.67192,-9.779859,-8.842367,-7.3943357,-5.9636493,-4.8828,-4.4452996,-2.734002,-2.2870455,-0.63621306,-0.2093279,0.18977942,0.68380105,1.1345131,-15.541879,-14.3512945,-15.624822,-18.260712,-16.68022,-15.350566,-12.835683,-10.581108,-9.03333,-8.562803,-5.8760376,-5.0056996,-2.4319203,-1.7229583,-1.2015079,-0.48064917,0.13054766,-20.277838,-19.079987,-20.299713,-24.021923,-27.499714,-25.3196,-23.180845,-19.274178,-17.036442,-16.587034,-11.926972,-10.051161,-5.9009414,-4.5701256,-3.9228318,-2.749247,-1.857276
