logTeff,logg,F218W,F225W,F275W,F336W,F390W,F438W,F475W,F555W,F606W,F625W,F775W,F814W,F105W,F110W,F125W,F140W,F160W,F218W_Av0.5,F225W_Av0.5,F275W_Av0.5,F336W_Av0.5,F390W_Av0.5,F438W_Av0.5,F475W_Av0.5,F555W_Av0.5,F606W_Av0.5,F625W_Av0.5,F775W_Av0.5,F814W_Av0.5,F105W_Av0.5,F110W_Av0.5,F125W_Av0.5,F140W_Av0.5,F160W_Av0.5,F218W_Av1,F225W_Av1,F275W_Av1,F336W_Av1,F390W_Av1,F438W_Av1,F475W_Av1,F555W_Av1,F606W_Av1,F625W_Av1,F775W_Av1,F814W_Av1,F105W_Av1,F110W_Av1,F125W_Av1,F140W_Av1,F160W_Av1,F218W_Av2,F225W_Av2,F275W_Av2,F336W_Av2,F390W_Av2,F438W_Av2,F475W_Av2,F555W_Av2,F606W_Av2,F625W_Av2,F775W_Av2,F814W_Av2,F105W_Av2,F110W_Av2,F125W_Av2,F140W_Av2,F160W_Av2,F218W_Av5,F225W_Av5,F275W_Av5,F336W_Av5,F390W_Av5,F438W_Av5,F475W_Av5,F555W_Av5,F606W_Av5,F625W_Av5,F775W_Av5,F814W_Av5,F105W_Av5,F110W_Av5,F125W_Av5,F140W_Av5,F160W_Av5,F218W_Av10,F225W_Av10,F275W_Av10,F336W_Av10,F390W_Av10,F438W_Av10,F475W_Av10,F555W_Av10,F606W_Av10,F625W_Av10,F775W_Av10,F814W_Av10,F105W_Av10,F110W_Av10,F125W_Av10,F140W_Av10,F160W_Av10,F218W_Av20,F225W_Av20,F275W_Av20,F336W_Av20,F390W_Av20,F438W_Av20,F475W_Av20,F555W_Av20,F606W_Av20,F625W_Av20,F775W_Av20,F814W_Av20,F105W_Av20,F110W_Av20,F125W_Av20,F140W_Av20,F160W_Av20
3.6,0.0,-8.724093,-8.870885,-9.0711975,-4.9522924,-3.4989374,-2.749813,-1.8149965,-1.1136135,-0.5762962,-0.28423083,0.43905482,0.5632667,1.1861622,1.4018846,1.6389364,1.9549863,2.2577696,-9.292072,-9.229074,-9.698188,-5.762135,-4.1963177,-3.4071047,-2.3866765,-1.6183025,-1.0233743,-0.71007615,0.111611426,0.26435128,0.9996589,1.238889,1.497113,1.8357815,2.1564384,-9.832746,-9.568597,-10.249327,-6.5703397,-4.8927917,-4.063806,-2.955757,-2.1193323,-1.4673772,-1.134803,-0.21493205,-0.032569204,0.8136943,1.0769101,1.3555228,1.7168067,2.055178,-10.820005,-10.206402,-11.154587,-8.180447,-6.2831483,-5.3754663,-4.0864177,-3.1108077,-2.3467095,-1.9809604,-0.8653049,-0.62040555,0.44336328,0.7559298,1.0730376,1.4795436,1.8528682,-13.060408,-11.927076,-13.090069,-12.881574,-10.435376,-9.296915,-7.4241505,-6.0083184,-4.9249167,-4.494276,-2.794608,-2.3363636,-0.6552099,-0.18460369,0.23106095,0.7731608,1.2476106,-15.74063,-14.498136,-15.688924,-18.527666,-17.291752,-15.778957,-12.843852,-10.631303,-9.076452,-8.608601,-5.9387107,-5.050327,-2.4475894,-1.6873577,-1.1546365,-0.3867829,0.2443279,-20.463192,-19.216465,-20.352787,-24.018238,-27.530924,-25.37285,-23.19719,-19.3224,-17.07695,-16.628925,-11.9927025,-10.088264,-5.911104,-4.5181704,-3.866139,-2.64758,-1.7423615
3.6,0.5,-8.607913,-8.851662,-8.851282,-4.6192966,-3.2948015,-2.6029546,-1.7532493,-1.0853999,-0.56979936,-0.2841563,0.42707756,0.54947704,1.1689205,1.3837199,1.621027,1.9441603,2.2597456,-9.187974,-9.220298,-9.526849,-5.429394,-3.9938803,-3.2609782,-2.3271935,-1.5917548,-1.0177871,-0.7103292,0.09962813,0.25048405,0.9824,1.2206999,1.4791762,1.825075,2.1584778,-9.742055,-9.566949,-10.125429,-6.238025,-4.6919994,-3.918398,-2.898439,-2.0943706,-1.4626546,-1.135378,-0.22692001,-0.046513714,0.7964192,1.0586975,1.3375591,1.70622,2.0572808,-10.758272,-10.213008,-11.103778,-7.8498926,-6.085494,-5.231455,-4.0331273,-3.08878,-2.343584,-1.9821615,-0.87729806,-0.6345029,0.42605874,0.7376717,1.0550219,1.4691969,1.8550972,-13.060545,-11.941117,-13.100448,-12.583698,-10.246058,-9.156803,-7.3805475,-5.993336,-4.9256186,-4.497199,-2.8065863,-2.3508914,-0.6725809,-0.20298132,0.21290101,0.7635339,1.2502167,-15.757146,-14.514212,-15.704899,-18.498953,-17.115398,-15.646114,-12.809688,-10.623819,-9.08113,-8.613834,-5.9505835,-5.065397,-2.465007,-1.7058856,-1.1729958,-0.39522478,0.24755651,-20.481186,-19.233278,-20.36997,-24.038786,-27.53859,-25.384922,-23.175056,-19.323704,-17.085142,-16.636951,-12.0042925,-10.103602,-5.9284525,-4.5368705,-3.8847609,-2.653795,-1.7379278
3.6,1.0,-8.51775,-8.829395,-8.631681,-4.337812,-3.1334782,-2.4941351,-1.7178339,-1.0729222,-0.57067806,-0.2874434,0.41785067,0.539275,1.1570964,1.370716,1.6080266,1.9359435,2.2609305,-9.106764,-9.209155,-9.34924,-5.1480746,-3.8341863,-3.1527996,-2.2937124,-1.5803194,-1.0190849,-0.7138217,0.09042519,0.24026191,0.9705621,1.207663,1.4661444,1.8169441,2.159709,-9.670797,-9.563135,-9.991792,-5.9569783,-4.533884,-3.8108482,-2.866799,-2.0839126,-1.4643542,-1.1390727,-0.236098,-0.056756187,0.78456825,1.0456281,1.3244965,1.6981752,2.058558,-10.708803,-10.217148,-11.044175,-7.569961,-5.9303885,-5.125128,-4.004884,-3.0800898,-2.346036,-1.9862494,-0.8864233,-0.6447864,0.41418397,0.72453904,1.0418988,1.4613245,1.8564665,-13.059469,-11.951227,-13.107013,-12.324984,-10.098917,-9.05388,-7.3602376,-5.9886627,-4.929949,-4.502371,-2.8155339,-2.3612947,-0.68450975,-0.2162904,0.19960822,0.7561789,1.2518617,-15.768817,-14.525472,-15.71611,-18.4648,-16.979908,-15.549105,-12.796358,-10.623114,-9.087584,-8.6204605,-5.9592,-5.0759463,-2.476977,-1.7194434,-1.186534,-0.4017263,0.24965607,-20.493822,-19.244923,-20.38192,-24.0538,-27.542654,-25.392963,-23.167248,-19.327814,-17.093658,-16.645313,-12.012337,-10.11407,-5.940388,-4.55078,-3.8986602,-2.6586883,-1.7349477
3.6,1.5,-8.451095,-8.80477,-8.428297,-4.12169,-3.0121148,-2.415397,-1.7017239,-1.0711601,-0.57594025,-0.29203197,0.41135564,0.53242654,1.149874,1.3622438,1.5993805,1.9300519,2.2613814,-9.0466175,-9.196101,-9.179701,-4.9319887,-3.7141933,-3.0745687,-2.27921,-1.5790966,-1.0244008,-0.71853346,0.083978616,0.23343787,0.96332884,1.1991545,1.457467,1.8111076,2.1601915,-9.617814,-9.557457,-9.859771,-5.740994,-4.4152203,-3.7331152,-2.8538187,-2.0831778,-1.4697282,-1.1439059,-0.24249558,-0.063556835,0.77732474,1.0370835,1.3157879,1.692394,2.0590725,-10.671511,-10.218995,-10.980839,-7.3545256,-5.8142624,-5.048362,-3.9946852,-3.0801885,-2.3515394,-1.9913203,-0.8927215,-0.6515433,0.4069215,0.7159237,1.0331293,1.4556539,1.8570448,-13.057672,-11.957726,-13.110186,-12.122324,-9.989517,-8.979799,-7.3563128,-5.9903836,-4.9359164,-4.508102,-2.8215275,-2.3679435,-0.6918164,-0.2251079,0.19066527,0.75084174,1.2526307,-15.77616,-14.532467,-15.723097,-18.431452,-16.880074,-15.479524,-12.797245,-10.626112,-9.094379,-8.627089,-5.964697,-5.082469,-2.484322,-1.7285588,-1.1957347,-0.40651095,0.25074017,-20.501749,-19.25208,-20.389318,-24.063913,-27.54397,-25.397482,-23.168951,-19.332838,-17.101582,-16.653002,-12.0170765,-10.120327,-5.9477315,-4.5603466,-3.9082646,-2.662422,-1.7332523
3.6,2.0,-8.401791,-8.777026,-8.247598,-3.9669213,-2.9231005,-2.3573349,-1.6979865,-1.0755335,-0.5829852,-0.2963136,0.4081149,0.5293474,1.1473,1.3583297,1.5950692,1.9264659,2.2612283,-9.002126,-9.180481,-9.025663,-4.7771745,-3.6261926,-3.016885,-2.276815,-1.5836443,-1.0312555,-0.72288704,0.080813006,0.23042475,0.96074444,1.1951988,1.4531243,1.807546,2.160058,-9.578467,-9.5493,-9.736444,-5.5861735,-4.328204,-3.6758034,-2.852687,-2.0878587,-1.4764131,-1.1483309,-0.24558607,-0.06650598,0.7747303,1.0330864,1.3114142,1.6888567,2.0589583,-10.643256,-10.217963,-10.917628,-7.199906,-5.7291303,-4.9917727,-3.9958384,-3.08503,-2.3579428,-1.9958866,-0.895662,-0.6543709,0.40430832,0.7118446,1.0286945,1.452166,1.8569698,-13.0543375,-11.960182,-13.109669,-11.975142,-9.909401,-8.925219,-7.3624215,-5.995147,-4.94187,-4.5130706,-2.8240263,-2.3704612,-0.69447696,-0.22942457,0.1860538,0.74750394,1.2526731,-15.778876,-14.534912,-15.72556,-18.403145,-16.80705,-15.42825,-12.806521,-10.63031,-9.100358,-8.632622,-5.9665227,-5.0846386,-2.4870362,-1.7332346,-1.2006165,-0.40959367,0.25097716,-20.504766,-19.25454,-20.39196,-24.069075,-27.54218,-25.39801,-23.175861,-19.337255,-17.108152,-16.659193,-12.01796,-10.122119,-5.9504995,-4.565588,-3.9135964,-2.6649983,-1.732635
3.6,2.5,-8.364904,-8.745353,-8.089358,-3.8627717,-2.8598993,-2.3137689,-1.7031261,-1.0843343,-0.59130615,-0.30040696,0.40829223,0.5302176,1.149529,1.3589878,1.595013,1.9246669,2.259631,-8.96895,-9.1617985,-8.888703,-4.672959,-3.5636258,-2.9735963,-2.2831082,-1.59235,-1.0392141,-0.7270145,0.08110139,0.23140998,0.9629609,1.1958042,1.4530342,1.8057346,2.1584675,-9.549015,-9.538324,-9.624482,-5.4819183,-4.266254,-3.6327872,-2.86006,-2.096437,-1.4840413,-1.152493,-0.24518725,-0.06540905,0.7769347,1.0336393,1.3112903,1.6870334,2.0573747,-10.621451,-10.213802,-10.856912,-7.0957046,-5.668361,-4.9492884,-4.005143,-3.093274,-2.3650022,-2.000119,-0.8950447,-0.6530615,0.4064892,0.71229297,1.0285034,1.4503189,1.8553997,-13.048857,-11.958358,-13.10535,-11.875297,-9.851782,-8.884227,-7.375737,-6.002076,-4.947845,-4.517515,-2.8227797,-2.3686082,-0.6923599,-0.22928205,0.1856658,0.7455905,1.2511444,-15.776735,-14.53256,-15.723249,-18.382122,-16.753918,-15.38971,-12.82183,-10.635355,-9.1058035,-8.637381,-5.9643574,-5.082186,-2.4850068,-1.7335625,-1.201316,-0.4116019,0.24951968,-20.502665,-19.252048,-20.389606,-24.069319,-27.536901,-25.39423,-23.186369,-19.341183,-17.11381,-16.664282,-12.014586,-10.119152,-5.9486055,-4.5666766,-3.9148476,-2.667136,-1.7339461
3.6,3.0,-8.333411,-8.707187,-7.945623,-3.7925508,-2.8129308,-2.2770524,-1.7120808,-1.0944215,-0.5991681,-0.30318707,0.41286507,0.5359727,1.1572479,1.3645283,1.5992631,1.9239246,2.2554662,-8.940691,-9.138037,-8.762674,-4.602693,-3.5169597,-2.9370875,-2.2931235,-1.6021799,-1.0466176,-0.7298111,0.085824296,0.23733035,0.9706604,1.2012663,1.4572407,1.8049346,2.1542978,-9.52368,-9.522885,-9.519481,-5.411628,-4.21988,-3.596484,-2.8710632,-2.1059818,-1.491026,-1.1553069,-0.24031562,-0.059328448,0.78461486,1.0390232,1.3154534,1.6861758,2.0532002,-10.601623,-10.205256,-10.796516,-7.025458,-5.6225424,-4.9133897,-4.0179005,-3.1021883,-2.3712616,-2.00297,-0.8898801,-0.6466762,0.41413143,0.7175209,1.0325797,1.4493471,1.8512161,-13.03959,-11.951287,-13.096175,-11.807864,-9.807419,-8.849488,-7.392011,-6.0089445,-4.952687,-4.520488,-2.8167825,-2.3614447,-0.684826,-0.22451188,0.1894837,0.74428445,1.246935,-15.768861,-14.524508,-15.715256,-18.366547,-16.711681,-15.35692,-12.839428,-10.639602,-9.109844,-8.640541,-5.957177,-5.0741715,-2.4776356,-1.7294999,-1.1979182,-0.4134323,0.24527273,-20.494625,-19.243715,-20.381382,-24.064083,-27.52687,-25.385044,-23.197437,-19.343567,-17.117868,-16.667559,-12.005926,-10.11047,-5.941516,-4.563769,-3.9122298,-2.6698637,-1.7382483
3.6,3.5,-8.302722,-8.654836,-7.793959,-3.737565,-2.7765687,-2.2458138,-1.719403,-1.1001099,-0.6001703,-0.29857722,0.4282613,0.552672,1.174337,1.3771518,1.6087292,1.9223207,2.2446437,-8.912902,-9.102253,-8.627213,-4.5478263,-3.4806626,-2.9060144,-2.3013325,-1.607445,-1.0470687,-0.72517025,0.10138477,0.25420606,0.98770386,1.2137214,1.4666281,1.8031955,2.143453,-9.498053,-9.496571,-9.403621,-5.3568945,-4.18364,-3.5655768,-2.8800936,-2.1108043,-1.4909687,-1.1506366,-0.22459254,-0.04228205,0.8016128,1.0513104,1.3247619,1.6843019,2.0423331,-10.579235,-10.186468,-10.723994,-6.9710565,-5.586394,-4.882815,-4.0283732,-3.1060882,-2.3703098,-1.9982444,-0.8738374,-0.62930655,0.43103895,0.7294748,1.0417308,1.4472054,1.8403049,-13.021361,-11.933526,-13.076373,-11.756137,-9.771409,-8.81991,-7.4052415,-6.0101,-4.9498844,-4.515622,-2.7998357,-2.343261,-0.66818404,-0.21353014,0.19816421,0.7413549,1.2358953,-15.750066,-14.505556,-15.696417,-18.347942,-16.67579,-15.329027,-12.853225,-10.637365,-9.105719,-8.635489,-5.938958,-5.0551343,-2.4614117,-1.7199992,-1.1900076,-0.41760954,0.23403104,-20.475733,-19.224596,-20.362432,-24.048662,-27.506927,-25.365711,-23.203293,-19.338326,-17.113173,-16.662096,-11.986145,-10.090871,-5.926043,-4.5566144,-3.9057586,-2.6762207,-1.7498478
3.6,4.0,-8.274754,-8.571514,-7.572114,-3.6809714,-2.755118,-2.2357962,-1.7177494,-1.090712,-0.5802306,-0.27389145,0.46414536,0.588311,1.2001455,1.3915164,1.6142722,1.9041915,2.2054691,-8.88735,-9.041364,-8.424302,-4.491933,-3.4591658,-2.89619,-2.2997866,-1.5973144,-1.0265245,-0.7003121,0.13731958,0.28985316,1.0133786,1.2276437,1.4719923,1.7847828,2.1042056,-9.473387,-9.448878,-9.224948,-5.3017087,-4.162082,-3.5559497,-2.8786268,-2.0999537,-1.4698522,-1.1256086,-0.18860734,-0.006629626,0.82715434,1.0647931,1.3299475,1.6656066,2.0030131,-10.553944,-10.149656,-10.603854,-6.917308,-5.564675,-4.8735948,-4.026982,-3.093846,-2.3481426,-1.9728847,-0.8377527,-0.5936517,0.4563153,0.7420879,1.04656,1.4279478,1.8008409,-12.989846,-11.899492,-13.038755,-11.707207,-9.748976,-8.811976,-7.4035063,-5.994188,-4.925243,-4.4893394,-2.763466,-2.3076615,-0.64368826,-0.2034228,0.20193535,0.7204373,1.196007,-15.716053,-14.471358,-15.662556,-18.31343,-16.651796,-15.323076,-12.849818,-10.617079,-9.078594,-8.607931,-5.902176,-5.0197835,-2.4381464,-1.713616,-1.1879468,-0.4411747,0.19346222,-20.44288,-19.191422,-20.329834,-24.021019,-27.472946,-25.33362,-23.192762,-19.312986,-17.08386,-16.632849,-11.948819,-10.056155,-5.904943,-4.555843,-3.906814,-2.7044842,-1.7916721
3.6,4.5,-8.238718,-8.463284,-7.299376,-3.5985065,-2.7285256,-2.2269504,-1.7030888,-1.0673652,-0.54608047,-0.23642093,0.50696844,0.62952083,1.2262552,1.4042025,1.6162984,1.8750266,2.143466,-8.8549795,-8.962381,-8.170373,-4.4104743,-3.4326932,-2.887575,-2.2848988,-1.5732408,-0.9918886,-0.66265696,0.18009149,0.33092946,1.0393316,1.239803,1.4738063,1.7552229,2.0420542,-9.44255,-9.388151,-8.996549,-5.2212625,-4.135706,-3.5475702,-2.8635027,-2.0751786,-1.434751,-1.0877718,-0.14588603,0.034313016,0.85295075,1.0764287,1.3315496,1.6356524,1.940714,-10.523052,-10.10522,-10.443695,-6.838916,-5.5384283,-4.865698,-4.0113626,-3.0677478,-2.3121731,-1.9346935,-0.7951306,-0.55297595,0.48180023,0.7526868,1.0477396,1.3972068,1.7382476,-12.953987,-11.861436,-12.994502,-11.63571,-9.722734,-8.805588,-7.3863435,-5.964752,-4.88714,-4.450168,-2.7211223,-2.267767,-0.61912155,-0.19581519,0.20185904,0.6873584,1.1325433,-15.67914,-14.434359,-15.625927,-18.265123,-16.624805,-15.318948,-12.830418,-10.58376,-9.0381775,-8.567439,-5.8602166,-4.981041,-2.415031,-1.7104634,-1.1900532,-0.47803393,0.12858695,-20.40796,-19.156223,-20.295357,-23.99098,-27.435804,-25.299047,-23.169085,-19.275225,-17.04129,-16.590786,-11.907313,-10.018965,-5.8844047,-4.5594106,-3.9126172,-2.7482297,-1.8591999
