    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1726715705,    5587.824186189688589,    5501.858982789899528,       0.922072496584049,       0.777927503415951,       1.168033468732944,       0.730092289546110,                 1,                 0,       2.561817299683260,       0.000000000000000,               1,1,0,0,0,       1.158027475622375,       0.782292568071130,       1.000000000000000,       0.700000000000000,       1.105561920971457,       0.666995276954123,                 1,                 0,       2.690050683049240,       0.000000000000000,0,0,       1.002054655854044,       0.711486214698112,       1.000000000000000,       0.060135655541171,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    5704.499047545889880,    5587.824186189688589,       0.918031148063298,       0.781968851936702,       1.012550159786195,       0.741198443274875,                 1,                 0,       2.557777724341893,       0.000000000000000,               2,1,0,0,0,       1.007605538560813,       0.793665013655634,       0.922072496584049,       0.777927503415951,       1.013024302305588,       0.738199676536344,                 1,                 0,       2.561817299683260,       0.000000000000000,1,0,       1.004346199784515,       0.790979618571115,       1.000000000000000,       0.000034637697219,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    5823.156751998466461,    5704.499047545889880,       0.913932136905892,       0.786067863094108,       1.011727585980338,       0.745438219469665,                 1,                 0,       2.553927487052321,       0.000000000000000,               3,1,0,0,0,       1.010487311414434,       0.797595771786433,       0.918031148063298,       0.781968851936702,       1.011999519876656,       0.742419030629906,                 1,                 0,       2.557777724341893,       0.000000000000000,1,0,       1.007057587610194,       0.794972001667533,       1.000000000000000,       0.000034544837828,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    5943.872859881753357,    5823.156751998466461,       0.909770597821074,       0.790229402178926,       1.010928314527865,       0.749775171494679,                 1,                 0,       2.550271276168325,       0.000000000000000,               4,1,0,0,0,       1.013360576873012,       0.801541074535824,       0.913932136905892,       0.786067863094108,       1.010978759493688,       0.746731910820288,                 1,                 0,       2.553927487052321,       0.000000000000000,1,0,       1.009739402912485,       0.798979981402070,       1.000000000000000,       0.000034473767899,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    6066.728842446163981,    5943.872859881753357,       0.905541229622939,       0.794458770377060,       1.010154218701298,       0.754219134006993,                 1,                 0,       2.546814757535175,       0.000000000000000,               5,1,0,0,0,       1.016227602676048,       0.805505629075364,       0.909770597821074,       0.790229402178926,       1.009960898111953,       0.751147838017797,                 1,                 0,       2.550271276168325,       0.000000000000000,1,0,       1.012390832883040,       0.803008512564916,       1.000000000000000,       0.000034425415107,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    6191.812751413879596,    6066.728842446163981,       0.901238257332409,       0.798761742667590,       1.009407606107049,       0.758780949068336,                 1,                 0,       2.543564721033833,       0.000000000000000,               6,1,0,0,0,       1.019090957756412,       0.809494503853060,       0.905541229622939,       0.794458770377060,       1.008944714367429,       0.755677313267118,                 1,                 0,       2.546814757535175,       0.000000000000000,1,0,       1.015010826398843,       0.807062963740147,       1.000000000000000,       0.000034400686116,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    6319.219978302784511,    6191.812751413879596,       0.896855391092567,       0.803144608907433,       1.008691317580757,       0.763472593614416,                 1,                 0,       2.540529250005251,       0.000000000000000,               7,1,0,0,0,       1.021953574241578,       0.813513161120730,       0.901238257332409,       0.798761742667590,       1.007928883176082,       0.760331942329212,                 1,                 0,       2.543564721033833,       0.000000000000000,1,0,       1.017598049283305,       0.811149158627583,       1.000000000000000,       0.000034400452367,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
  1726715705,    6449.054117258183396,    6319.219978302784511,       0.892385781002243,       0.807614218997757,       1.008008850635183,       0.768307327384502,                 1,                 0,       2.537717916914482,       0.000000000000000,               8,1,0,0,0,       1.024818828049404,       0.817567495075516,       0.896855391092567,       0.803144608907433,       1.006911970259685,       0.765124580014601,                 1,                 0,       2.540529250005251,       0.000000000000000,1,0,       1.020150832091533,       0.815273424278548,       1.000000000000000,       0.000034425538046,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,      -0.333333333333333,      -0.333333333333333,      -0.281254257698058,      -0.281254257698058,         1
